0,1,2,3,4,5,6,7,8,9,10
0.533,1.0558,-5.8836,0.80327,-63.12,42.221,28.021,118.52,14.522,-2.8625,1.3636
0.542,1.0602,-5.8643,0.82906,-64.329,42.955,29.228,119.3,14.58,-2.9112,1.3942
0.55,1.0697,-5.8312,0.86144,-65.481,43.685,30.391,120.06,14.635,-2.9557,1.4207
0.558,1.0843,-5.7793,0.89765,-66.592,44.406,31.507,120.8,14.681,-2.9907,1.4383
0.567,1.1031,-5.7042,0.93526,-67.678,45.115,32.574,121.52,14.709,-3.0123,1.4419
0.575,1.125,-5.6024,0.97248,-68.751,45.81,33.588,122.22,14.716,-3.0207,1.4268
0.583,1.1488,-5.473,1.0078,-69.819,46.489,34.548,122.89,14.696,-3.0185,1.3898
0.592,1.173,-5.3176,1.0398,-70.88,47.15,35.452,123.54,14.653,-3.007,1.3302
0.6,1.1965,-5.1399,1.0681,-71.931,47.792,36.297,124.15,14.594,-2.9862,1.251
0.608,1.2184,-4.945,1.0935,-72.965,48.413,37.08,124.71,14.535,-2.9575,1.1584
0.617,1.2382,-4.739,1.1177,-73.974,49.01,37.797,125.23,14.494,-2.9264,1.0601
0.625,1.2555,-4.5265,1.1421,-74.947,49.58,38.447,125.69,14.484,-2.901,0.96356
0.633,1.2696,-4.3102,1.1673,-75.872,50.114,39.024,126.11,14.516,-2.8896,0.87558
0.642,1.2804,-4.0904,1.193,-76.733,50.603,39.528,126.47,14.586,-2.8988,0.8027
0.65,1.2881,-3.8656,1.2192,-77.515,51.034,39.958,126.79,14.685,-2.9316,0.75004
0.658,1.2934,-3.6337,1.2449,-78.207,51.396,40.314,127.06,14.796,-2.9847,0.71828
0.667,1.2964,-3.3934,1.2675,-78.795,51.681,40.598,127.29,14.895,-3.047,0.7024
0.675,1.2964,-3.1462,1.2834,-79.268,51.883,40.81,127.49,14.958,-3.1038,0.69411
0.683,1.2932,-2.8962,1.2902,-79.614,52.006,40.949,127.65,14.969,-3.1457,0.68551
0.692,1.2883,-2.6488,1.2881,-79.83,52.055,41.014,127.78,14.925,-3.1716,0.67037
0.7,1.2847,-2.4105,1.2793,-79.917,52.042,41.004,127.89,14.839,-3.1869,0.6447
0.708,1.2857,-2.1881,1.2679,-79.882,51.979,40.916,127.96,14.731,-3.1993,0.60725
0.717,1.2933,-1.9871,1.2576,-79.739,51.88,40.75,128,14.618,-3.2162,0.55999
0.725,1.3068,-1.8116,1.2501,-79.503,51.758,40.507,128.01,14.514,-3.2442,0.50906
0.733,1.3238,-1.6637,1.2442,-79.192,51.626,40.192,127.98,14.432,-3.2875,0.46448
0.742,1.3415,-1.5435,1.2384,-78.823,51.493,39.814,127.92,14.381,-3.3466,0.4381
0.75,1.3574,-1.4486,1.2318,-78.412,51.366,39.38,127.83,14.368,-3.4207,0.44071
0.758,1.3696,-1.3746,1.2253,-77.969,51.247,38.896,127.71,14.39,-3.5078,0.47837
0.767,1.3772,-1.3159,1.2207,-77.502,51.134,38.368,127.57,14.431,-3.6036,0.55099
0.775,1.38,-1.2669,1.2198,-77.007,51.02,37.798,127.43,14.47,-3.7021,0.65379
0.783,1.3777,-1.2239,1.224,-76.477,50.897,37.189,127.27,14.484,-3.7993,0.77896
0.792,1.37,-1.1853,1.2338,-75.899,50.755,36.544,127.11,14.458,-3.8935,0.9158
