24,0.192,1126.5,220.15,824.44,1422.8,213.11,809.37,1191,210.6,1052.1,1396.4,213.18,1058.8,1247.4,363.84,1106.8,1341.4,422.75,1031.3,1157.4,515.91,801.03,1100.4,555.27,868.14,878.5,433.61,803.23,924.28,347.54,790.48,815.36,351.4,814.38
25,0.2,1126.8,219.85,824.82,1423,212.87,809.09,1191.8,210.47,1052.3,1397.2,213,1058.6,1248.4,364.25,1106.6,1342.8,422.28,1031,1163.8,515.69,798.31,1106.5,556.62,864.83,884.96,433.76,802,930.63,347.61,789.57,821.95,351.55,814.05
26,0.208,1127.1,219.58,825.24,1423.3,212.63,808.77,1192.6,210.35,1052.4,1398,212.83,1058.4,1249.4,364.72,1106.5,1344.1,421.81,1030.7,1170,515.03,795.56,1112.5,557.7,861.51,891.13,433.83,800.98,936.66,347.59,788.83,828.23,351.64,813.85
27,0.217,1127.3,219.32,825.68,1423.6,212.4,808.43,1193.5,210.26,1052.4,1398.8,212.68,1058.1,1250.5,365.25,1106.4,1345.4,421.32,1030.2,1175.8,514.03,792.79,1118.3,558.59,858.2,897.05,433.86,800.14,942.43,347.51,788.23,834.23,351.69,813.75
28,0.225,1127.6,219.09,826.13,1423.8,212.18,808.04,1194.4,210.21,1052.5,1399.6,212.54,1057.9,1251.6,365.82,1106.2,1346.7,420.84,1029.7,1181.4,512.79,790.06,1124.1,559.35,854.95,902.78,433.87,799.44,948.02,347.4,787.76,840.02,351.7,813.72
29,0.233,1128,218.89,826.58,1424.1,211.99,807.62,1195.3,210.19,1052.5,1400.4,212.4,1057.5,1252.7,366.41,1106.1,1348,420.37,1029.1,1186.8,511.44,787.41,1129.8,560.02,851.79,908.37,433.86,798.86,953.49,347.28,787.38,845.66,351.68,813.72
30,0.242,1128.3,218.7,827.02,1424.4,211.82,807.15,1196.2,210.19,1052.5,1401.2,212.28,1057.2,1253.8,367,1106,1349.2,419.91,1028.5,1192,510.07,784.89,1135.4,560.66,848.75,913.86,433.84,798.34,958.92,347.15,787.04,851.21,351.64,813.72
31,0.25,1128.6,218.52,827.43,1424.8,211.68,806.65,1197.1,210.21,1052.5,1402.1,212.17,1056.8,1254.9,367.57,1105.8,1350.4,419.47,1027.9,1197.2,508.77,782.55,1141,561.29,845.88,919.3,433.8,797.84,964.37,347.05,786.71,856.73,351.57,813.69
32,0.258,1128.9,218.35,827.81,1425.1,211.57,806.12,1197.9,210.21,1052.5,1403,212.07,1056.4,1256,368.1,1105.7,1351.7,419.04,1027.3,1202.3,507.62,780.42,1146.5,561.94,843.2,924.74,433.74,797.32,969.86,346.96,786.35,862.26,351.48,813.61
33,0.267,1129.1,218.18,828.14,1425.4,211.48,805.58,1198.7,210.19,1052.4,1403.9,211.97,1056,1257.1,368.59,1105.7,1352.9,418.64,1026.8,1207.4,506.67,778.54,1152,562.62,840.75,930.21,433.67,796.77,975.43,346.88,785.96,867.83,351.35,813.47
34,0.275,1129.3,218.01,828.42,1425.7,211.43,805.04,1199.4,210.13,1052.3,1404.8,211.89,1055.6,1258.2,369.02,1105.6,1354.2,418.28,1026.3,1212.5,505.97,776.91,1157.3,563.33,838.54,935.71,433.58,796.18,981.06,346.82,785.54,873.45,351.18,813.26
35,0.283,1129.5,217.86,828.64,1426.1,211.39,804.52,1200.1,210.03,1052.2,1405.7,211.81,1055.2,1259.2,369.39,1105.5,1355.5,417.96,1026,1217.6,505.53,775.55,1162.5,564.05,836.59,941.25,433.46,795.57,986.75,346.75,785.11,879.11,350.99,813
36,0.292,1129.8,217.72,828.8,1426.4,211.38,804.02,1200.8,209.89,1052.1,1406.5,211.75,1054.9,1260.2,369.71,1105.4,1356.8,417.67,1025.8,1222.8,505.34,774.45,1167.6,564.77,834.89,946.83,433.32,794.94,992.48,346.68,784.68,884.81,350.78,812.71
37,0.3,1130.1,217.6,828.9,1426.7,211.38,803.57,1201.4,209.72,1052,1407.3,211.68,1054.6,1261.1,369.97,1105.4,1358.1,417.4,1025.7,1228,505.4,773.58,1172.4,565.48,833.43,952.42,433.16,794.33,998.23,346.61,784.28,890.54,350.54,812.42
38,0.308,1130.4,217.51,828.96,1427.1,211.38,803.17,1202,209.52,1052,1408,211.62,1054.3,1261.9,370.18,1105.3,1359.3,417.14,1025.6,1233.3,505.66,772.94,1177.1,566.17,832.2,958.01,432.99,793.78,1004,346.52,783.96,896.29,350.29,812.17
39,0.317,1130.8,217.44,828.98,1427.4,211.39,802.81,1202.5,209.32,1051.9,1408.6,211.55,1054,1262.7,370.33,1105.2,1360.5,416.86,1025.7,1238.6,506.08,772.49,1181.6,566.83,831.16,963.59,432.8,793.33,1009.8,346.42,783.75,902.05,350.03,812
40,0.325,1131.3,217.4,828.98,1427.8,211.4,802.5,1202.9,209.11,1051.8,1409.2,211.48,1053.7,1263.5,370.43,1105.1,1361.5,416.57,1025.7,1243.9,506.62,772.21,1186.1,567.46,830.29,969.12,432.6,793.02,1015.5,346.29,783.7,907.79,349.76,811.97
